filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	summarylen	summarytext
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case meets Molly, who reveals that she is collecting him for someone and wants to talk. Molly explains that she sometimes hurts people and mentions that she is wired that way.	8067	467	8	281	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage.	9072	530	8	339	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Armitage explains the benefits of fixing Case's neural damage and offers him a deal, but Case initially refuses. Molly convinces him of the advantages and Case agrees to the terms, preparing for the procedure.	9072	530	9	339	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Molly and Case discuss their mysterious employer and the uncertainty surrounding their work, while Case undergoes a painful medical procedure to fix his damaged nervous system.	10081	596	9	369	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Molly and Case leave the Cheap Hotel and travel to Amsterdam and Paris before returning to the Sprawl, while Case recovers from his medical procedure and eagerly awaits the opportunity to jack into cyberspace again.	10081	596	10	369	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal. Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case and Molly engage in a sexual encounter while discussing their plans to meet with Armitage. Case convinces Molly to let him go alone, and he heads to Julius Deane's office to gather information about Armitage and the war.	11086	664	10	395	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case meets with Julius Deane and asks for information about Armitage and the war. Deane provides details about the war and mentions that some soldiers made it out alive. Case prepares to meet with Armitage at the Hilton.	11086	664	11	395	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal. Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage. Molly and Case discuss their mysterious employer and the uncertainty surrounding their work, while Case undergoes a painful medical procedure to fix his damaged nervous system.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly go to Sammi's, an arena where knife-fighters battle in holographic projections, but Case becomes increasingly anxious and feels that the operation to fix his damaged nervous system hasn't worked.	12088	733	11	437	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Linda Lee appears in the arena, causing Case to chase after her, but he is tripped by a boy with spiked blond hair. Molly intervenes and uses her fletchettes to stop him.	12088	733	12	437	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal. Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage. Molly and Case discuss their mysterious employer and the uncertainty surrounding their work, while Case undergoes a painful medical procedure to fix his damaged nervous system. In the passage, Case and Molly engage in a sexual encounter while discussing their plans to meet with Armitage. Case convinces Molly to let him go alone, and he heads to Julius Deane's office to gather information about Armitage and the war.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case and Molly witness the aftermath of a fight in which someone is killed. Molly reveals that the killers were sent by someone who wanted to prevent Case from selling his RAM. Molly and Case leave Chiba City and head to the Sprawl, where they wake up in a new room filled with their belongings.	13097	801	12	469	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly meet with Armitage to discuss their next move. They embark on a shopping expedition to gather supplies for their mission and receive further instructions from Armitage.	13097	801	13	469	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal. Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage. Molly and Case discuss their mysterious employer and the uncertainty surrounding their work, while Case undergoes a painful medical procedure to fix his damaged nervous system. In the passage, Case and Molly engage in a sexual encounter while discussing their plans to meet with Armitage. Case convinces Molly to let him go alone, and he heads to Julius Deane's office to gather information about Armitage and the war. Case and Molly go to Sammi's, an arena where knife-fighters battle in holographic projections, but Case becomes increasingly anxious and feels that the operation to fix his damaged nervous system hasn't worked.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case and Molly meet with Armitage, who reveals that Case has toxin sacs bonded to his arteries and needs to complete a job for them in order to receive the antidote. They discuss their plans and gather their belongings before leaving Chiba City for the Sprawl.	14098	869	13	527	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly arrive at their destination in the Sprawl, encounter a mysterious door, and enter a hidden location.	14098	869	14	527	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal. Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage. Molly and Case discuss their mysterious employer and the uncertainty surrounding their work, while Case undergoes a painful medical procedure to fix his damaged nervous system. In the passage, Case and Molly engage in a sexual encounter while discussing their plans to meet with Armitage. Case convinces Molly to let him go alone, and he heads to Julius Deane's office to gather information about Armitage and the war. Case and Molly go to Sammi's, an arena where knife-fighters battle in holographic projections, but Case becomes increasingly anxious and feels that the operation to fix his damaged nervous system hasn't worked. In the passage, Case and Molly witness the aftermath of a fight in which someone is killed. Molly reveals that the killers were sent by someone who wanted to prevent Case from selling his RAM. Molly and Case leave Chiba City and head to the Sprawl, where they wake up in a new room filled with their belongings.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly enter a hidden room filled with white plastic walls and furniture, where they meet Finn, a man with small ears and yellow teeth, who scans them for implants and assures them of their privacy. They discuss their work for Armitage and the plan to retrieve the Flatline's construct.	15100	937	14	576	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly strategize and prepare for the hardcore run to retrieve the Flatline's construct from Sense/Net's library vault, focusing solely on obtaining the Flatline's construct and discussing the tight security measures in place.	15100	937	15	576	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal. Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage. Molly and Case discuss their mysterious employer and the uncertainty surrounding their work, while Case undergoes a painful medical procedure to fix his damaged nervous system. In the passage, Case and Molly engage in a sexual encounter while discussing their plans to meet with Armitage. Case convinces Molly to let him go alone, and he heads to Julius Deane's office to gather information about Armitage and the war. Case and Molly go to Sammi's, an arena where knife-fighters battle in holographic projections, but Case becomes increasingly anxious and feels that the operation to fix his damaged nervous system hasn't worked. In the passage, Case and Molly witness the aftermath of a fight in which someone is killed. Molly reveals that the killers were sent by someone who wanted to prevent Case from selling his RAM. Molly and Case leave Chiba City and head to the Sprawl, where they wake up in a new room filled with their belongings. In the passage, Case and Molly meet with Armitage, who reveals that Case has toxin sacs bonded to his arteries and needs to complete a job for them in order to receive the antidote. They discuss their plans and gather their belongings before leaving Chiba City for the Sprawl.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly discuss Armitage and their mission, and Case enters cyberspace to experience the Matrix. Molly leaves, and Case falls asleep after his cyberspace experience. The Finn arrives and introduces himself, bringing a booby-trapped device for Case's Ono-Sendai.	16123	1003	15	627	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	The Finn explains the purpose of the booby-trapped device and helps Case modify his Ono-Sendai. They discuss the mission and potential dangers. Case tests the modified device and gains enhanced access in the Matrix.	16123	1003	16	627	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person. Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys. Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal. Case meets Molly, who reveals her hidden scalpel blades, and they are joined by Armitage in a hotel room where he offers Case a chance to fix his neural damage. Molly and Case discuss their mysterious employer and the uncertainty surrounding their work, while Case undergoes a painful medical procedure to fix his damaged nervous system. In the passage, Case and Molly engage in a sexual encounter while discussing their plans to meet with Armitage. Case convinces Molly to let him go alone, and he heads to Julius Deane's office to gather information about Armitage and the war. Case and Molly go to Sammi's, an arena where knife-fighters battle in holographic projections, but Case becomes increasingly anxious and feels that the operation to fix his damaged nervous system hasn't worked. In the passage, Case and Molly witness the aftermath of a fight in which someone is killed. Molly reveals that the killers were sent by someone who wanted to prevent Case from selling his RAM. Molly and Case leave Chiba City and head to the Sprawl, where they wake up in a new room filled with their belongings. In the passage, Case and Molly meet with Armitage, who reveals that Case has toxin sacs bonded to his arteries and needs to complete a job for them in order to receive the antidote. They discuss their plans and gather their belongings before leaving Chiba City for the Sprawl. Case and Molly enter a hidden room filled with white plastic walls and furniture, where they meet Finn, a man with small ears and yellow teeth, who scans them for implants and assures them of their privacy. They discuss their work for Armitage and the plan to retrieve the Flatline's construct.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case sits in a loft with dermatrodes strapped to his forehead, preparing to experience simstim through Molly's sensorium, reflecting on the nature of simstim and his connection with Molly. He enters cyberspace and becomes a passive observer in Molly's body as she navigates through the crowded streets of Chiba City.	17134	1067	16	666	
